Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,total_onboard,serious_fatal_fraction,Destroyed,Make_Model
20080213X00180,Accident,SEA08LA064,2008-01-12,"Placerville, CA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Piper PA-24-250
20080304X00261,Accident,MIA08CA039,2008-01-12,"Lapine, AL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-300,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Piper PA-32-300
20080117X00069,Accident,SEA08LA063,2008-01-13,"Centerville, WA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-12,No,1,Reciprocating,091,Personal,0.0,1.0,0.0,1.0,VMC,Unknown,2.0,0.5,0,Piper PA-12
20080507X00622,Accident,DFW08WA125,2008-01-13,"Huesca, Spain",Spain,Non-Fatal,Substantial,Airplane,Cessna,TU206G,No,1,Reciprocating,NUSN,Skydiving,0.0,0.0,2.0,4.0,Unknown,Unknown,6.0,0.0,0,Cessna TU206G
20080312X00302,Accident,MIA08CA042,2008-01-14,"Atlanta, GA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-260,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Piper PA-32-260
20080118X00074,Accident,ANC08LA031,2008-01-15,"Bethel, AK",United States,Non-Fatal,Substantial,Airplane,Cessna,208B,No,1,Turbo Prop,135,Unknown,0.0,1.0,0.0,4.0,VMC,Unknown,5.0,0.2,0,Cessna 208B
20080122X00084,Accident,DCA08WA030,2008-01-15,"Port Said, Egypt",Egypt,Fatal,Destroyed,Airplane,Beech,C90B,No,Unknown,Unknown,NUSN,Unknown,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,1.0,1,Beech C90B
20080118X00075,Accident,ANC08LA032,2008-01-16,"Aniak, AK",United States,Non-Fatal,Substantial,Airplane,Cessna,207,No,1,Reciprocating,091,Positioning,0.0,0.0,1.0,0.0,IMC,Unknown,1.0,0.0,0,Cessna 207
20080318X00329,Accident,DFW08CA072,2008-01-16,"Hereford, TX",United States,Non-Fatal,Substantial,Airplane,Beech,58P,No,2,Reciprocating,091,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,0.0,0,Beech 58P
20080117X00065,Accident,DCA08RA028,2008-01-17,"London, United Kingdom",United Kingdom,Non-Fatal,Substantial,Airplane,Boeing,777-236ER,No,Unknown,Unknown,NUSC,Unknown,0.0,2.0,0.0,191.0,Unknown,Unknown,193.0,0.010362694300518135,0,Boeing 777-236ER
